logrecno,geoid
0012802,36061015400
0012803,36061015500
0012804,36061015601
0012805,36061015602
0012806,36061015700
0012807,36061015801
0012808,36061015802
0012809,36061015900
0012810,36061016001
0012811,36061016002
0012812,36061016100
0012813,36061016200
0012814,36061016300
0012815,36061016400
0012816,36061016500
0012817,36061016600
0012818,36061016700
0012819,36061016800
0012820,36061016900
0012821,36061017000
0012822,36061017100
0012823,36061017200
0012824,36061017300
0012825,36061017401
0012826,36061017402
0012827,36061017500
0012828,36061017700
0012829,36061017800
0012830,36061017900
0012831,36061018000
0012832,36061018100
0012833,36061018200
0012834,36061018300
0012835,36061018400
0012836,36061018500
0012837,36061018600
0012838,36061018700
0012839,36061018800
0012840,36061018900
0012841,36061019000
0012842,36061019100
0012843,36061019200
0012844,36061019300
0012845,36061019400
0012846,36061019500
0012847,36061019600
0012848,36061019701
0012849,36061019702
0012850,36061019800
0012851,36061019900
0012852,36061020000
0012853,36061020101
0012854,36061020102
0012855,36061020300
0012856,36061020500
0012857,36061020600
0012858,36061020701
0012859,36061020800
0012860,36061020901
0012861,36061021000
0012862,36061021100
0012863,36061021200
0012864,36061021303
0012865,36061021400
0012866,36061021500
0012867,36061021600
0012868,36061021703
0012869,36061021800
0012870,36061021900
0012871,36061022000
0012872,36061022102
0012873,36061022200
0012874,36061022301
0012875,36061022302
0012876,36061022400
0012877,36061022500
0012878,36061022600
0012879,36061022700
0012880,36061022800
0012881,36061022900
0012882,36061023000
0012883,36061023100
0012884,36061023200
0012885,36061023300
0012886,36061023400
0012887,36061023501
0012888,36061023502
0012889,36061023600
0012890,36061023700
0012891,36061023801
0012892,36061023802
0012893,36061023900
0012894,36061024000
0012895,36061024100
0012896,36061024200
0012897,36061024301
0012898,36061024302
0012899,36061024500
0012900,36061024700
0012901,36061024900
0012902,36061025100
0012903,36061025300
0012904,36061025500
0012905,36061025700
0012906,36061025900
0012907,36061026100
0012908,36061026300
0012909,36061026500
0012910,36061026700
0012911,36061026900
0012912,36061027100
0012913,36061027300
0012914,36061027500
0012915,36061027700
0012916,36061027900
0012917,36061028100
0012918,36061028300
0012919,36061028500
0012920,36061028700
0012921,36061029100
0012922,36061029300
0012923,36061029500
0012924,36061029700
0012925,36061029900
0012926,36061030300
0012927,36061030700
0012928,36061030900
0012929,36061031100
0012930,36061031703
0012931,36061031704
0012932,36061031900
0013390,36081000100
0013391,36081000200
0013392,36081000400
0013393,36081000600
0013394,36081000700
0013395,36081000800
0013396,36081001000
0013397,36081001200
0013398,36081001400
0013399,36081001600
0013400,36081001800
0013401,36081001900
0013402,36081002000
0013403,36081002200
0013404,36081002400
0013405,36081002500
0013406,36081002600
0013407,36081002800
0013408,36081003000
0013409,36081003100
0013410,36081003200
0013411,36081003300
0013412,36081003400
0013413,36081003600
0013414,36081003700
0013415,36081003800
0013416,36081003900
0013417,36081004001
0013418,36081004002
0013419,36081004200
0013420,36081004300
0013421,36081004401
0013422,36081004500
0013423,36081004700
0013424,36081005000
0013425,36081005100
0013426,36081005200
0013427,36081005300
0013428,36081005400
0013429,36081005500
0013430,36081005700
0013431,36081005800
0013432,36081005900
0013433,36081006100
0013434,36081006201
0013435,36081006202
0013436,36081006300
0013437,36081006501
0013438,36081006502
0013439,36081006900
0013440,36081007100
0013441,36081007300
0013442,36081007500
0013443,36081007700
0013444,36081007900
0013445,36081008100
0013446,36081008300
0013447,36081008500
0013448,36081008600
0013449,36081008700
0013450,36081008800
0013451,36081009100
0013452,36081009400
0013453,36081009500
0013454,36081009600
0013455,36081009700
0013456,36081009800
0013457,36081009900
0013458,36081010000
0013459,36081010100
0013460,36081010200
0013461,36081010300
0013462,36081010400
0013463,36081010500
0013464,36081010600
0013465,36081010701
0013466,36081010800
0013467,36081011000
0013468,36081011100
0013469,36081011200
0013470,36081011300
0013471,36081011400
0013472,36081011500
0013473,36081011600
0013474,36081011700
0013475,36081011800
0013476,36081011900
0013477,36081012000
0013478,36081012100
0013479,36081012200
0013480,36081012301
0013481,36081012400
0013482,36081012500
0013483,36081012601
0013484,36081012602
0013485,36081012800
0013486,36081013000
0013487,36081013200
0013488,36081013400
0013489,36081013500
0013490,36081013600
0013491,36081013700
0013492,36081013800
0013493,36081014000
0013494,36081014100
0013495,36081014201
0013496,36081014202
0013497,36081014300
0013498,36081014400
0013499,36081014500
0013500,36081014700
0013501,36081014800
0013502,36081014900
0013503,36081015000
0013504,36081015100
0013505,36081015200
0013506,36081015300
0013507,36081015400
0013508,36081015500
0013509,36081015600
0013510,36081015700
0013511,36081015801
0013512,36081015802
0013513,36081015900
0013514,36081016100
0013515,36081016300
0013516,36081016400
0013517,36081016600
0013518,36081016800
0013519,36081016900
0013520,36081017000
0013521,36081017100
0013522,36081017200
0013523,36081017400
0013524,36081017600
0013525,36081017800
0013526,36081017900
0013527,36081018000
0013528,36081018101
0013529,36081018102
0013530,36081018200
0013531,36081018300
0013532,36081018401
0013533,36081018402
0013534,36081018501
0013535,36081018502
0013536,36081018600
0013537,36081018700
0013538,36081018800
0013539,36081018900
0013540,36081019000
0013541,36081019200
0013542,36081019400
0013543,36081019600
0013544,36081019800
0013545,36081019900
0013546,36081020200
0013547,36081020400
0013548,36081020500
0013549,36081020600
0013550,36081020800
0013551,36081021200
